"","x"
"1767",8435953
"1768",71022966
"1769",193260355
"1770",11018739
"1771",193859228
"1772",640309
"1773",6640721
"1774",6859599
"1775",592986
"1776",5921685
"1777",7224401
"1778",5413246
"1779",8021138
"1780",4782426
"1781",8239055
"1782",1372414
"1783",22181195
"1784",26173944
"1785",6735532
"1786",6462289
"1787",192747170
"1788",216999130
"1789",6731238
"1790",213501461
"1791",10953738
"1792",7810295
"1793",5974599
"1794",2850246
"1795",15716385
"1796",11212598
"1797",24785559
"1798",213287272
"1799",1557321
"1800",6829891
"1801",17315752
"1802",222327013
"1803",14940517
"1804",5668552
"1805",18860551
"1806",8135364
"1807",1783671
"1808",8075789
"1809",10814375
"1810",6174728
"1811",34240447
"1812",108543375
"1813",9497375
"1814",7703981
"1815",219953774
"1816",215742700
"1817",11043167
"1818",20584590
"1819",57245912
"1820",4725648
"1821",64818646
"1822",16453090
"1823",42383710
"1824",123890997
"1825",212997978
"1826",18916631
"1827",115222297
"1828",194863069
"1829",2013786
"1830",7818837
"1831",31663096
"1832",17299132
"1833",66899639
"1834",33026203
"1835",9798754
"1836",193673062
"1837",193342885
"1838",30182940
"1839",8105173
"1840",18542913
"1841",30468451
"1842",141901833
"1843",34212985
"1844",215500477
"1845",7026419
"1846",133428128
"1847",194949606
"1848",32020738
"1849",30338187
"1850",212735832
"1851",197356643
"1852",218635300
"1853",35752566
"1854",108509585
"1855",16782513
"1856",8010138
"1857",141819894
"1858",222374506
"1859",7376120
"1860",218120472
"1861",30152443
"1862",42391497
"1863",34869055
"1864",197091594
"1865",212885962
"1866",209097727
"1867",33485540
"1868",216233756
"1869",166635664
"1870",6021512
"1871",35740516
"1872",192886757
"1873",212477480
"1874",32488530
